"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"16:19:44 2017-February-14","25.71","FAIR","19.98482719","105.65860145","19.98481549","105.65761599","true","5.39","103.14","HARD-MEDIUM"
"16:19:53 2017-February-14","37.9","POOR","19.98481549","105.65761599","19.98524515","105.65674586","true","7.51","102.74","HARD-MEDIUM"
"16:20:02 2017-February-14","42.57","POOR","19.98524515","105.65674586","19.98567326","105.65582997","true","11.49","106.93","HARD-MEDIUM"
"16:20:11 2017-February-14","42.3","POOR","19.98567326","105.65582997","19.98609537","105.65495876","true","6.9","102.46","HARD-MEDIUM"
"16:20:22 2017-February-14","34.58","FAIR","19.98609537","105.65495876","19.98672791","105.65417421","true","5.76","107.91","HARD-MEDIUM"
"16:20:32 2017-February-14","39.14","POOR","19.98672791","105.65417421","19.9874586","105.65348337","true","7.1","108.49","HARD-MEDIUM"
"16:20:42 2017-February-14","38.93","POOR","19.9874586","105.65348337","19.98806637","105.65268525","true","6.84","107.26","HARD-MEDIUM"
"16:20:56 2017-February-14","26.44","POOR","19.98806637","105.65268525","19.98854737","105.65185209","true","6.3","102.17","HARD-MEDIUM"
"16:21:08 2017-February-14","32.06","POOR","19.98854737","105.65185209","19.98901005","105.65096386","true","8.34","106.14","HARD-MEDIUM"
"16:21:20 2017-February-14","29.49","POOR","19.98901005","105.65096386","19.98954921","105.65019658","true","8.86","100.05","HARD-MEDIUM"
"16:21:32 2017-February-14","31.66","FAIR","19.98954921","105.65019658","19.99027446","105.64954229","true","5.89","105.52","HARD-MEDIUM"
"16:21:44 2017-February-14","31.91","POOR","19.99027446","105.64954229","19.99092913","105.64877291","true","6.54","108.33","HARD-MEDIUM"
"16:21:55 2017-February-14","34.06","POOR","19.99092913","105.64877291","19.99156795","105.64803505","true","8.47","104.71","HARD-MEDIUM"
"16:22:08 2017-February-14","30.5","POOR","19.99156795","105.64803505","19.99229881","105.647364","true","6.82","107.14","HARD-MEDIUM"
"16:22:22 2017-February-14","27.2","POOR","19.99229881","105.647364","19.99310616","105.64680719","true","6.62","106.69","HARD-MEDIUM"
"16:22:35 2017-February-14","29.01","POOR","19.99310616","105.64680719","19.9939283","105.64630251","true","7.2","105.23","HARD-MEDIUM"
"16:23:08 2017-February-14","28.72","POOR","19.99493371","105.64596774","19.9957426","105.64548377","true","6.94","102.88","HARD-MEDIUM"
"16:23:20 2017-February-14","32.8","FAIR","19.9957426","105.64548377","19.99659433","105.6449677","true","5.72","108.66","HARD-MEDIUM"
"16:24:27 2017-February-14","20.86","FAIR","19.99645268","105.64360203","19.99581682","105.6428692","true","5.03","104.1","HARD-MEDIUM"
"16:24:59 2017-February-14","20.77","FAIR","19.9953409","105.642317","19.99468933","105.64155643","true","5.15","107.42","HARD-MEDIUM"
"16:25:11 2017-February-14","31.65","FAIR","19.99468933","105.64155643","19.99404791","105.64083835","true","4.83","103.39","HARD-MEDIUM"
"16:25:50 2017-February-14","20.86","FAIR","19.99355836","105.6399979","19.99338846","105.63904328","true","4.9","101.66","HARD-MEDIUM"
"16:26:02 2017-February-14","30.79","FAIR","19.99338846","105.63904328","19.99312904","105.63810434","true","4.43","102.37","HARD-MEDIUM"
"16:26:16 2017-February-14","27.95","FAIR","19.99312904","105.63810434","19.99262135","105.63724319","true","5.6","106.21","HARD-MEDIUM"
"16:26:57 2017-February-14","25.71","POOR","19.99180466","105.63657523","19.99093244","105.63614943","true","6.42","106.34","HARD-MEDIUM"
"16:27:08 2017-February-14","35.05","POOR","19.99093244","105.63614943","19.99007983","105.63569547","true","8.62","105.67","HARD-MEDIUM"
"16:27:21 2017-February-14","29.27","GOOD","19.99007983","105.63569547","19.98931632","105.63505811","true","3.34","107.67","HARD-MEDIUM"
"16:27:33 2017-February-14","30.98","POOR","19.98931632","105.63505811","19.98857779","105.63448445","true","8.29","101.43","HARD-MEDIUM"
"16:27:46 2017-February-14","29.55","POOR","19.98857779","105.63448445","19.98786332","105.63381641","true","8.7","105.57","HARD-MEDIUM"
"16:27:58 2017-February-14","29.54","POOR","19.98786332","105.63381641","19.98722181","105.63314108","true","10.5","100.19","HARD-MEDIUM"
"16:28:10 2017-February-14","31.31","POOR","19.98722181","105.63314108","19.98653127","105.63245092","true","9.95","105.17","HARD-MEDIUM"
